actor1,actor2,events,fatalities,civilian_targeting_events,first_event,last_event
Military Forces of Sudan (2019-),Rapid Support Forces,5907,14328,0,2023-04-15,2025-04-22
Rapid Support Forces,Civilians (Sudan),3834,8112,3093,2023-04-15,2025-04-22
Rapid Support Forces,Military Forces of Sudan (2019-),1057,9753,0,2023-04-15,2025-04-22
Military Forces of Sudan (2019-),Civilians (Sudan),596,3472,515,2023-04-15,2025-04-22
Unidentified Armed Group (Sudan),Civilians (Sudan),359,533,293,2023-04-15,2025-04-11
Darfur Communal Militia (Sudan),Civilians (Sudan),332,245,224,2023-04-15,2025-04-15
Military Forces of Sudan (2019-) Military Intelligence Service,Civilians (Sudan),79,52,35,2023-05-14,2025-04-17
Military Forces of Sudan (2019-),SPLM-N-Abdelaziz: Sudan People's Liberation Movement (North) (Abdelaziz al-Hilu faction),63,191,0,2023-06-25,2025-04-08
Darfur Arab Militia (Sudan),Civilians (Sudan),63,74,53,2023-04-19,2025-04-14
SPLM-N-Abdelaziz: Sudan People's Liberation Movement (North) (Abdelaziz al-Hilu faction),Military Forces of Sudan (2019-),62,134,0,2023-06-08,2025-02-10
Government of Sudan (2019-),Civilians (Sudan),58,0,0,2023-05-28,2025-04-21
Rapid Support Forces,Darfur Joint Forces/JSAMF: Joint Force of Armed Struggle Movement,34,636,0,2023-05-23,2025-01-25
Twic Clan Militia (South Sudan),Civilians (Sudan),33,111,25,2023-06-17,2025-04-01
Darfur Joint Forces/JSAMF: Joint Force of Armed Struggle Movement,Rapid Support Forces,32,75,0,2023-09-01,2025-03-24
Unidentified Communal Militia (Sudan),Civilians (Sudan),28,11,13,2023-04-19,2025-04-16
Military Forces of Sudan (2019-),Unidentified Armed Group (Sudan),28,0,0,2023-04-23,2025-02-01
Military Forces of Sudan (2019-2023) Rapid Support Forces,Military Forces of Sudan (2019-),24,89,0,2023-04-15,2023-04-16
Darfur Joint Forces/JSAMF: Joint Force of Armed Struggle Movement,Civilians (Sudan),24,17,21,2023-06-15,2025-01-05
Sudan Shield Forces,Rapid Support Forces,24,6,0,2023-08-07,2025-03-26
Salamat Ethnic Militia (Sudan),Habbaniyah Ethnic Militia (Sudan),18,180,0,2023-06-18,2024-06-20
Unidentified Armed Group (Sudan),Rapid Support Forces,18,8,0,2023-09-05,2025-03-24
Military Forces of Sudan (2019-) Abu Tira,Rapid Support Forces,17,13,0,2023-04-30,2025-04-22
Twic Clan Militia (South Sudan),Ngok Clan Militia (Sudan),15,81,0,2023-06-18,2024-01-27
SPLM-N-Abdelaziz: Sudan People's Liberation Movement (North) (Abdelaziz al-Hilu faction),Civilians (Sudan),15,10,15,2023-10-24,2025-03-01
Rapid Support Forces,Police Forces of Sudan (2019-),14,91,0,2023-06-16,2024-11-12
Police Forces of Sudan (2019-),Civilians (Sudan),14,3,9,2023-08-22,2025-02-23
Beni Halba Ethnic Militia (Sudan),Salamat Ethnic Militia (Sudan),13,283,0,2023-08-10,2023-11-07
Rapid Support Forces,Shugara Forces,12,194,0,2025-01-12,2025-04-19
Salamat Ethnic Militia (Sudan),Beni Halba Ethnic Militia (Sudan),12,117,0,2023-08-07,2024-05-16
SPLM-N-Abdelaziz: Sudan People's Liberation Movement (North) (Abdelaziz al-Hilu faction),Rapid Support Forces,12,52,0,2023-07-19,2024-03-13
Al Baraa Ibn Malik Brigade,Civilians (Sudan),12,22,12,2023-11-04,2025-04-15
Police Forces of Sudan (2019-) General Intelligence Service,Civilians (Sudan),12,5,8,2023-07-15,2024-08-31
SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),Military Forces of Sudan (2019-),12,0,0,2023-09-23,2023-09-23
Rapid Support Forces,Masalit Ethnic Militia (Sudan),11,800,0,2023-05-12,2023-06-15
Kordofan Arab Militia (Sudan),Civilians (Sudan),11,18,9,2023-10-04,2024-07-16
Sudan Shield Forces,Civilians (Sudan),10,64,7,2024-12-07,2025-02-08
Rapid Support Forces,Darfur Communal Militia (Sudan),10,14,0,2023-06-07,2025-03-18
Military Forces of Sudan (2019-),Military Forces of Sudan (2019-2023) Rapid Support Forces,10,8,0,2023-04-15,2023-04-16
Habbaniyah Ethnic Militia (Sudan),Salamat Ethnic Militia (Sudan),9,206,0,2023-05-25,2024-06-10
Darfur Arab Militia (Sudan),Masalit Ethnic Militia (Sudan),9,165,0,2023-05-01,2024-12-06
Darfur Communal Militia (Sudan),Rapid Support Forces,9,16,0,2024-05-20,2025-04-14
Darfur Arab Militia (Sudan),Zaghawa Ethnic Militia (Sudan),9,14,0,2024-07-01,2024-12-21
SLM/A-Minnawi: Sudan Liberation Movement/Army (Minnawi Faction),Civilians (Sudan),9,2,9,2023-05-16,2025-01-20
Rapid Support Forces,Erenga Ethnic Militia (Sudan),8,116,0,2023-07-25,2023-09-05
Rapid Support Forces,North Kordofan Communal Militia (Sudan),8,41,0,2024-05-12,2025-04-18
