admin1,macro_region,events,fatalities,civilian_targeting_events,violence_against_civilians_events,battles,explosions_remote,strategic_developments,locations,admin2_units,first_event,last_event,geo_admin1,civilian_targeting_share,fatalities_per_event,centroid_lon,centroid_lat
Khartoum,Khartoum,6838,11180,1341,761,2805,2465,784,193,7,2023-04-15,2025-04-22,Khartoum,0.1961099736765136,1.6349809885931559,33.00976670049555,15.544085783072124
Al Jazirah,Central/Nile,2199,4973,1089,981,257,326,616,508,8,2023-04-16,2025-04-18,Gezira,0.495225102319236,2.261482492041837,33.14273595665167,14.319359808506503
North Darfur,Darfur,1874,11229,603,391,683,438,342,198,16,2023-04-15,2025-04-22,North Darfur,0.3217716115261473,5.991995731056564,24.602254518046202,14.014800115346203
South Darfur,Darfur,731,2487,239,207,221,88,199,66,20,2023-04-15,2025-04-20,South Darfur,0.32694938440492477,3.40218878248974,24.461324328820968,10.277094408858217
North Kordofan,Kordofan,678,2241,217,167,225,143,134,90,8,2023-04-15,2025-04-22,North Kordofan,0.3200589970501475,3.3053097345132745,30.068745027040322,13.610303075120854
Sennar,Central/Nile,483,1196,117,94,127,87,169,96,7,2023-04-18,2025-04-17,Sennar,0.2422360248447205,2.4761904761904763,34.07774304790766,13.195651182380484
South Kordofan,Kordofan,426,1368,107,93,177,51,87,81,16,2023-04-15,2025-04-22,South Kordofan,0.2511737089201878,3.211267605633803,30.5502922652264,11.630033919027078
West Darfur,Darfur,421,5093,184,170,94,25,130,47,8,2023-04-15,2025-04-15,West Darfur,0.43705463182897863,12.097387173396674,22.476632746563112,13.275616438961764
White Nile,Central/Nile,414,705,137,131,76,52,138,87,8,2023-04-15,2025-04-22,White Nile,0.3309178743961353,1.7028985507246377,32.43131714696158,13.708622384873125
West Kordofan,Kordofan,369,1070,76,65,136,41,116,49,14,2023-04-22,2025-04-22,West Kordofan,0.20596205962059622,2.899728997289973,28.732661481848645,12.269455607306387
Central Darfur,Darfur,314,514,126,112,82,22,95,37,9,2023-04-15,2025-04-12,Central Darfur,0.4012738853503185,1.6369426751592357,23.43244177540169,12.606194258692671
River Nile,Northern/Nile,209,132,30,20,36,29,109,37,7,2023-04-15,2025-04-14,River Nile,0.14354066985645933,0.631578947368421,33.62266911616671,18.981611116768164
Red Sea,Eastern Sudan,171,7,8,8,7,1,115,6,6,2023-04-15,2025-04-21,Red Sea,0.04678362573099415,0.04093567251461988,37.075628421470746,20.147000202017395
East Darfur,Darfur,168,164,57,50,30,24,55,23,8,2023-04-15,2025-04-22,East Darfur,0.3392857142857143,0.9761904761904762,26.14382578005469,11.427140290847044
Abyei,Abyei,168,447,72,72,58,1,24,34,1,2023-05-01,2025-04-17,Abyei PCA,0.42857142857142855,2.6607142857142856,28.537836283428618,9.601188094964332
Gedaref,Eastern Sudan,157,79,19,15,23,10,90,29,11,2023-04-15,2025-03-10,Gedaref,0.12101910828025478,0.5031847133757962,35.10837248941647,13.792070359674822
Northern,Northern/Nile,147,61,13,10,28,10,87,24,7,2023-04-15,2025-04-09,Northern,0.08843537414965986,0.41496598639455784,30.157936004333383,20.073188160840054
Blue Nile,Central/Nile,139,304,24,17,38,17,62,29,7,2023-04-16,2025-04-22,Blue Nile,0.17266187050359713,2.1870503597122304,34.33216577477783,11.008664039355605
Kassala,Eastern Sudan,98,6,10,10,9,0,67,13,9,2023-04-16,2025-04-22,Kassala,0.10204081632653061,0.061224489795918366,36.30697797183245,15.668273867631335
