feature,coefficient,abs_coefficient
fatal_event_count_lag1,1.1577682652645824,1.1577682652645824
macro_Khartoum,1.134825138647294,1.134825138647294
macro_Eastern Sudan,-1.1020239709984019,1.1020239709984019
macro_Northern/Nile,-1.0193745952679976,1.0193745952679976
explosions_remote_lag1,0.9269461566334584,0.9269461566334584
fatalities_prev3mo,-0.8829067743311342,0.8829067743311342
civilian_actor_events_lag1,0.8588505708095256,0.8588505708095256
unique_admin2_lag1,0.7170851438835258,0.7170851438835258
battles_lag1,0.5849593571849304,0.5849593571849304
macro_Darfur,0.5431905841299906,0.5431905841299906
events_lag1,0.5144182683316819,0.5144182683316819
explosions_remote_prev3mo,0.49451885928288497,0.49451885928288497
rsf_events_lag1,0.47597250635196636,0.47597250635196636
strategic_developments_lag1,-0.4478280280821883,0.4478280280821883
battles_prev3mo,0.4288481999600093,0.4288481999600093
protests_riots_lag1,-0.4077345871618483,0.4077345871618483
events_prev3mo,0.36182922474300877,0.36182922474300877
civilian_targeting_events_lag1,0.30297229430030187,0.30297229430030187
macro_Abyei,0.2809777495101105,0.2809777495101105
distinct_actor_count_lag1,-0.26750510224202434,0.26750510224202434
macro_Central/Nile,0.23483528659458403,0.23483528659458403
macro_Kordofan,0.1744380890200404,0.1744380890200404
unique_locations_lag1,-0.1690115974622511,0.1690115974622511
months_since_war_start,-0.1606400158034927,0.1606400158034927
violence_against_civilians_events_lag1,-0.13731554046315184,0.13731554046315184
civilian_targeting_events_prev3mo,-0.10931960720430121,0.10931960720430121
saf_events_lag1,0.064230171294089,0.064230171294089
fatalities_lag1,0.04074292824028094,0.04074292824028094
